E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,Exercise,Student,NbLines,NbVars,NbParams,HasLoop,HasForLoop,HasWhileLoop,HasIf,HasIfElse,HasIfElif,HasIfElifElse,InstDepth,HasNestedLoops,HasNestedIfs,HasIfInLoop,HasLoopInIf,NbReturns,HasPrint,HasComment,HasImport,NbTokens,PassedTestCases
-0.50037396,0.60536796,0.21445262,-0.5950365,-0.21749565,-0.47934625,0.28043216,0.2981753,0.5351278,-0.66654086,-0.65008336,-0.8108487,-0.99818105,0.44220063,-0.077473134,-0.20005599,0.28319687,0.6140592,-0.9615445,0.62682885,f918da384abe3dbfb19a02f888cbf3b1,userdId_36,15,4,3,True,False,True,True,False,False,False,3,False,False,True,False,1,False,False,False,81,True
-0.93958205,0.7248683,0.17211062,-0.7841874,-1.0342431,-0.84168166,-1.0571691,-0.16345574,1.0717994,-0.986141,-0.23828723,-1.7601146,0.86202663,1.0980405,0.68846995,0.2866657,-0.13009545,1.0300726,-0.34320474,1.1329601,f918da384abe3dbfb19a02f888cbf3b1,userdId_4,13,3,3,True,False,True,True,False,False,False,4,False,True,True,False,1,False,False,False,78,False
0.7709931,0.045618363,1.0503199,0.36294952,-0.04114616,-0.112020455,-0.68685186,-0.29357406,1.2064523,0.21590862,1.1736516,-0.71356094,-0.21398322,-0.073660456,-0.21125107,0.27124748,-1.120811,0.32447138,0.19536002,-0.07877328,0c9aa2cd6791f3c44ce75bb46fb0b625,userdId_40,6,2,1,True,True,False,False,False,False,False,2,False,False,False,False,1,False,False,False,47,False
0.8165651,-0.041563798,0.55888385,0.5931337,0.31035972,-0.42021137,0.36312333,0.09368033,0.89337444,-0.33680087,0.7083943,-0.13686554,-0.51207584,0.0028420677,-0.15261601,-0.2216386,-0.9191429,0.093025304,0.9276921,-0.4735003,0c9aa2cd6791f3c44ce75bb46fb0b625,userdId_25,5,2,1,True,True,False,False,False,False,False,2,False,False,False,False,1,False,False,False,47,False
0.61511314,0.055684887,0.1863098,0.7012036,0.59087825,0.7638598,-0.18708393,-0.34478685,0.48575017,1.3663533,0.51327467,1.0849501,0.08300419,0.5786972,-1.0042138,-2.0662751,-0.53709424,-1.3214341,-0.965115,0.82435435,709a3600dc12d686d1c8f691a0af1e19,userdId_38,13,1,1,False,False,False,True,False,False,False,3,False,False,False,False,1,False,False,False,98,False
0.5801981,0.6389213,-0.3466225,-0.23848088,0.7028077,-0.95654356,-0.5752245,0.16436985,0.9181143,1.1080052,0.8946955,1.8653877,-1.0748962,0.09946061,-0.83020663,-1.4748589,-0.7789558,-0.739352,-0.6404589,1.0862056,709a3600dc12d686d1c8f691a0af1e19,userdId_2,22,3,1,False,False,False,True,True,True,True,3,False,False,False,False,1,False,False,False,138,False
0.25916055,-0.5516968,-1.0255697,0.44779176,1.0586423,-0.8700344,-0.35868755,0.30567858,0.9670355,-0.031182224,0.5225501,0.35172534,-1.909787,0.48202884,-0.5136449,0.43964645,-0.13191135,-0.14087562,-1.22581,-0.7110633,3355182ef981952e841618c19103ef09,userdId_8,8,4,3,False,False,False,True,False,False,False,2,False,False,False,False,1,False,False,False,81,False
0.7448408,-0.19931386,0.6839158,0.5641704,0.045272954,-0.10784845,-0.6132023,-0.021459816,0.5767623,-0.18465896,0.7580345,-0.41893384,-0.5482364,0.041756924,0.31941268,0.5005201,-1.0319135,0.30492863,0.3358261,-0.27331364,0c9aa2cd6791f3c44ce75bb46fb0b625,userdId_39,5,2,1,True,True,False,False,False,False,False,2,False,False,False,False,1,False,False,False,43,False
-0.26948828,-1.3629686,-0.52990985,1.5094943,-0.10935241,-1.0176669,0.37286586,-0.51847005,0.24771006,0.49948832,0.61305463,0.4442679,-0.3500326,1.0974236,-1.0667992,-0.8276348,-0.6941876,-1.1307566,1.3612009,0.32624492,709a3600dc12d686d1c8f691a0af1e19,userdId_35,17,1,1,False,False,False,True,True,True,True,3,False,False,False,False,1,False,False,False,92,False
1.4085168,-0.6149543,0.5004973,-1.2296718,-0.16532359,-0.78205174,0.21578383,-0.30279887,-0.3743631,-0.68539065,-0.009346701,-0.46965888,-0.8864308,0.3110831,0.9634188,0.24900047,0.33443022,0.60424787,1.0980421,-0.62937343,3355182ef981952e841618c19103ef09,userdId_4,13,3,3,False,False,False,True,True,True,True,2,False,False,False,False,1,True,False,True,104,False
0.91851115,-1.0753413,-0.736192,2.0888813,-1.5500731,1.461747,-0.37222806,-0.8284731,-0.4982573,0.51615167,1.4028426,0.5270679,0.5963104,1.0379307,-0.8631229,-0.08121738,-2.2845182,-0.7718257,0.01617169,-0.49162057,4c3cff428b26be2b1464a3c9ee78c7cf,userdId_34,8,1,6,False,False,False,True,False,False,False,3,False,True,False,False,1,False,False,False,63,False
-0.10671288,1.3161541,-0.94210774,0.20614006,-0.23997074,-1.307011,-1.2955494,0.14475194,-0.47207916,0.5536591,-0.65547734,1.8454771,-1.2168798,0.51363456,0.33693045,-1.809144,-0.37662888,-0.8267955,-2.1902297,-1.1129706,709a3600dc12d686d1c8f691a0af1e19,userdId_14,18,2,1,False,False,False,True,False,False,False,5,False,False,False,False,1,False,False,False,104,False
0.34078312,0.4391973,0.4112206,-0.76989365,-0.73837996,-0.9379435,-0.019440327,-0.3702253,0.058679342,-0.35164934,-1.1032348,-1.707816,-0.71522576,0.73314273,0.3363351,-0.23194411,0.38494867,0.685035,-0.17455669,0.11312778,f918da384abe3dbfb19a02f888cbf3b1,userdId_34,17,4,3,True,False,True,True,False,False,False,3,False,False,True,False,1,False,True,False,83,True
0.12573917,0.94417083,-0.060933754,-0.8711461,0.6603281,-1.1180648,0.08131556,0.17109749,0.7505127,-0.26759413,-0.26777035,-0.79937273,-0.06300265,0.94756174,0.03132594,0.26013094,0.5333341,0.77321374,-1.2049587,0.39583644,f918da384abe3dbfb19a02f888cbf3b1,userdId_21,12,4,3,True,False,True,True,False,False,False,3,False,False,True,False,0,False,False,False,70,False
-0.17138328,0.091091886,0.38461185,0.44707122,-0.800251,-0.39790574,-0.16113472,-0.20389825,1.1281064,-0.574211,0.16147013,-0.42931622,0.73687565,0.50709486,0.2451747,0.45822516,-0.60958934,0.23986338,0.5360884,-0.47306287,f918da384abe3dbfb19a02f888cbf3b1,userdId_12,8,2,3,True,False,True,True,False,False,False,3,False,False,True,False,1,False,False,False,55,False
-0.16770811,-1.4043663,-0.58507925,1.5096614,-0.19487596,-1.0989987,0.3365552,-0.5476083,0.1549017,0.58111745,0.7386682,0.5188229,-0.39868578,0.98590875,-1.1120523,-0.78786635,-0.59875435,-1.2090267,1.3701864,0.38101658,709a3600dc12d686d1c8f691a0af1e19,userdId_25,17,1,1,False,False,False,True,True,True,True,3,False,False,False,False,1,False,False,False,92,False
-0.8887587,0.4431182,-0.21309228,0.8912156,-1.1770259,-1.4217348,-0.9380876,-0.5194993,0.7894472,-0.5598599,-0.24044795,-1.1122499,-0.10327066,0.5128901,0.7913506,0.09822913,0.15156645,0.90029925,0.024044689,-0.38091072,582dcbc047b264a41a011f56f86574ba,userdId_29,9,2,1,True,True,False,True,False,False,False,4,False,False,True,False,1,False,False,False,60,True
-0.8424026,0.51173985,-0.22847421,1.0013055,-1.068496,-1.3146402,-0.747681,-0.4763956,0.7549212,-0.4774833,-0.27506587,-1.130401,0.028987942,0.418993,0.58994305,0.14466093,0.16640651,0.8387558,0.17434664,-0.34710127,582dcbc047b264a41a011f56f86574ba,userdId_14,9,3,1,True,True,False,True,False,False,False,4,False,False,True,False,1,False,False,False,60,False
0.05203493,1.0448862,0.3829143,0.53505796,-0.05032781,-0.70009315,1.8480659,-0.34286177,1.2999913,-0.7756441,-0.6185663,-1.2595654,-0.42213795,0.37922662,0.5948705,-0.1413908,0.04024482,1.7506878,-0.03750473,0.5464922,f918da384abe3dbfb19a02f888cbf3b1,userdId_10,12,4,3,True,False,True,True,False,False,False,3,False,False,True,False,1,False,False,False,72,False
-1.095906,0.27019328,-0.35838634,1.1633815,-1.0704786,-1.4290289,-0.8481076,-0.4078519,0.80337286,-0.51728606,-0.37644398,-1.327951,-0.083733484,0.3320881,0.6388029,-0.0027453767,0.16494676,0.5444571,0.2208702,-0.30859494,582dcbc047b264a41a011f56f86574ba,userdId_17,9,2,1,True,True,False,True,False,False,False,4,False,False,True,False,1,False,False,False,60,True
0.42680755,-0.7959213,0.61751175,-1.9060787,-0.95329344,0.3830636,-1.4917283,0.21977764,1.2556534,-0.74481726,0.6577841,-0.94900155,0.3680068,0.17890422,0.11061919,0.62333864,-0.64101446,-0.7924605,1.0645738,-0.24057081,392e69c90b63b832ef1b1489027c9c7f,userdId_1,12,2,2,True,False,True,True,True,True,True,3,False,False,True,False,1,False,False,False,76,False
-0.882093,-0.10556351,0.1657274,-0.3365383,-0.7285541,-0.43810913,-0.7993075,-0.084409565,1.2305709,-0.44610965,0.46710837,-0.54007703,-0.22586477,0.1682274,-0.12847257,-0.022621442,-0.66110474,-0.5633695,0.6294919,-0.011346331,392e69c90b63b832ef1b1489027c9c7f,userdId_12,11,2,2,True,False,True,True,True,True,True,3,False,False,True,False,1,False,False,False,81,False
