Coverage;Discr.;patType;ov;un;finKmin;finKmax;obj;PCR;DC;IPC;ARI;len
50;10;pat;15;15;3;3;2;0.58;0.98;0.99;[[17090.02, 8157.57, 29251.0], [2660.23, 1711.04, 3644.08]];3
50;10;pat;15;15;3;3;7;0.58;0.98;0.99;[[17090.02, 8157.57, 29251.0], [2660.23, 1711.04, 3644.08]];3
50;10;pat;15;15;3;3;9;0.58;0.98;0.99;[[8157.57, 29251.0, 17090.02], [1711.04, 3644.08, 2660.23]];3
50;30;pat;15;15;3;3;2;0.59;0.97;0.89;[[19905.51, 7284.89, 10980.49], [4900.68, 1034.19, 1424.79]];3
50;30;pat;15;15;3;3;7;0.61;1.0;0.95;[[29251.0, 8157.57, 17090.02], [3644.08, 1711.04, 2660.23]];3
50;30;pat;15;15;3;3;9;0.61;1.0;0.95;[[29251.0, 8157.57, 17090.02], [3644.08, 1711.04, 2660.23]];3
50;10;tag;15;15;3;3;2;;;;;
50;30;tag;15;15;3;3;2;;;;;
70;10;pat;15;15;3;3;2;0.76;0.87;0.98;[[17090.02, 30147.0, 8157.57], [2660.23, 3142.11, 1711.04]];3
70;10;pat;15;15;3;3;7;0.76;0.87;0.98;[[8506.31, 18260.15, 30147.0], [2099.77, 2260.6, 3142.11]];3
70;10;pat;15;15;3;3;9;0.76;0.87;0.98;[[18260.15, 30147.0, 8506.31], [2260.6, 3142.11, 2099.77]];3
70;30;pat;15;15;3;3;2;0.75;0.96;0.9;[[8157.57, 29251.0, 17090.02], [1711.04, 3644.08, 2660.23]];3
70;30;pat;15;15;3;3;7;0.75;0.96;0.9;[[29251.0, 8157.57, 17090.02], [3644.08, 1711.04, 2660.23]];3
70;30;pat;15;15;3;3;9;0.75;0.96;0.9;[[17090.02, 29251.0, 8157.57], [2660.23, 3644.08, 1711.04]];3
70;50;pat;15;15;3;3;2;0.76;0.97;0.81;[[7284.89, 19905.51, 10980.49], [1034.19, 4900.68, 1424.79]];3
70;50;pat;15;15;3;3;7;0.81;0.99;0.89;[[17090.02, 8157.57, 30147.0], [2660.23, 1711.04, 3142.11]];3
70;50;pat;15;15;3;3;9;0.81;0.99;0.89;[[17090.02, 8157.57, 30147.0], [2660.23, 1711.04, 3142.11]];3
70;10;tag;15;15;3;3;2;;;;;
70;30;tag;15;15;3;3;2;;;;;
70;50;tag;15;15;3;3;2;0.79;0.88;0.85;[[17090.02, 8157.57, 29251.0], [2660.23, 1711.04, 3644.08]];3
70;50;tag;15;15;3;3;7;0.86;0.94;0.82;[[30147.0, 8506.31, 18260.15], [3142.11, 2099.77, 2260.6]];3
70;50;tag;15;15;3;3;9;0.86;0.94;0.82;[[30147.0, 8506.31, 18260.15], [3142.11, 2099.77, 2260.6]];3
90;10;pat;15;15;3;3;2;;;;;
90;30;pat;15;15;3;3;2;;;;;
90;50;pat;15;15;3;3;2;0.94;0.94;0.82;[[8157.57, 17090.02, 30147.0], [1711.04, 2660.23, 3142.11]];3
90;50;pat;15;15;3;3;7;0.94;0.94;0.82;[[8157.57, 17090.02, 30147.0], [1711.04, 2660.23, 3142.11]];3
90;50;pat;15;15;3;3;9;0.94;0.94;0.82;[[8157.57, 17090.02, 30147.0], [1711.04, 2660.23, 3142.11]];3
90;10;tag;15;15;3;3;2;;;;;
90;30;tag;15;15;3;3;2;;;;;
90;50;tag;15;15;3;3;2;;;;;
