Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.56;0.63;1.0;13;[]
30;10;pat;20;20;2;15;5;1;9;0.56;0.63;1.0;13;[]
30;10;pat;20;20;2;15;5;2;9;0.53;0.63;1.0;13;[]
30;10;pat;20;20;2;15;5;3;9;0.53;0.63;1.0;13;[]
30;10;tag;20;20;2;15;5;-1;9;0.65;0.73;1.0;9;[]
30;10;tag;20;20;2;15;5;1;9;0.62;0.72;1.0;9;[]
30;10;tag;20;20;2;15;5;2;9;0.65;0.73;0.99;9;[]
30;10;tag;20;20;2;15;5;3;9;0.64;0.73;1.0;9;[]
50;10;pat;20;20;2;15;5;-1;9;;;;;
50;10;pat;20;20;2;15;5;1;9;0.61;0.61;1.0;10;[]
50;10;pat;20;20;2;15;5;2;9;0.69;0.69;1.0;10;[]
50;10;pat;20;20;2;15;5;3;9;0.68;0.68;1.0;10;[]
50;30;pat;20;20;2;15;5;-1;9;0.78;0.81;0.99;12;[]
50;30;pat;20;20;2;15;5;1;9;0.69;0.69;0.99;13;[]
50;30;pat;20;20;2;15;5;2;9;0.82;0.82;0.99;12;[]
50;30;pat;20;20;2;15;5;3;9;0.79;0.79;0.99;12;[]
50;10;tag;20;20;2;15;5;-1;9;;;;;
50;10;tag;20;20;2;15;5;1;9;;;;;
50;10;tag;20;20;2;15;5;2;9;;;;;
50;10;tag;20;20;2;15;5;3;9;;;;;
50;30;tag;20;20;2;15;5;-1;9;0.76;0.76;0.98;11;[]
50;30;tag;20;20;2;15;5;1;9;0.79;0.79;0.98;11;[]
50;30;tag;20;20;2;15;5;2;9;0.83;0.83;0.98;11;[]
50;30;tag;20;20;2;15;5;3;9;0.83;0.83;0.98;11;[]
70;10;pat;20;20;2;15;5;-1;9;;;;;
70;10;pat;20;20;2;15;5;1;9;;;;;
70;10;pat;20;20;2;15;5;2;9;;;;;
70;10;pat;20;20;2;15;5;3;9;;;;;
70;30;pat;20;20;2;15;5;-1;9;;;;;
70;30;pat;20;20;2;15;5;1;9;;;;;
70;30;pat;20;20;2;15;5;2;9;;;;;
70;30;pat;20;20;2;15;5;3;9;;;;;
70;50;pat;20;20;2;15;5;-1;9;;;;;
70;50;pat;20;20;2;15;5;1;9;0.87;0.88;0.98;12;[]
70;50;pat;20;20;2;15;5;2;9;0.88;0.88;0.98;12;[]
70;50;pat;20;20;2;15;5;3;9;0.88;0.88;0.98;12;[]
70;10;tag;20;20;2;15;5;-1;9;;;;;
70;10;tag;20;20;2;15;5;1;9;;;;;
70;10;tag;20;20;2;15;5;2;9;;;;;
70;10;tag;20;20;2;15;5;3;9;;;;;
70;30;tag;20;20;2;15;5;-1;9;;;;;
70;30;tag;20;20;2;15;5;1;9;;;;;
70;30;tag;20;20;2;15;5;2;9;;;;;
70;30;tag;20;20;2;15;5;3;9;;;;;
70;50;tag;20;20;2;15;5;-1;9;;;;;
70;50;tag;20;20;2;15;5;1;9;;;;;
70;50;tag;20;20;2;15;5;2;9;;;;;
70;50;tag;20;20;2;15;5;3;9;;;;;
