Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;20;20;2;15;5;-1;9;0.34;0.7;0.96;2;[]
30;10;pat;20;20;2;15;5;0;9;0.34;0.7;0.96;2;[]
30;10;pat;20;20;2;15;5;1;9;0.34;0.7;0.96;2;[]
30;10;pat;20;20;2;15;5;2;9;0.34;0.7;0.96;2;[]
30;10;pat;20;20;2;15;5;3;9;0.34;0.7;0.96;2;[]
30;10;pat;20;20;3;15;5;-1;9;0.38;0.55;0.99;3;[]
30;10;pat;20;20;3;15;5;0;9;0.38;0.55;0.99;3;[]
30;10;pat;20;20;3;15;5;1;9;0.38;0.55;0.99;3;[]
30;10;pat;20;20;3;15;5;2;9;0.38;0.55;0.99;3;[]
30;10;pat;20;20;3;15;5;3;9;0.38;0.55;0.99;3;[]
30;10;tag;20;20;2;15;5;-1;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;2;15;5;0;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;2;15;5;1;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;2;15;5;2;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;2;15;5;3;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;3;15;5;-1;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;3;15;5;0;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;3;15;5;1;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;3;15;5;2;9;0.67;0.96;0.99;3;[]
30;10;tag;20;20;3;15;5;3;9;0.67;0.96;0.99;3;[]
50;10;pat;20;20;2;15;5;-1;9;0.76;0.85;0.99;5;[]
50;10;pat;20;20;2;15;5;0;9;0.76;0.84;0.99;5;[]
50;10;pat;20;20;2;15;5;1;9;0.76;0.85;0.99;5;[]
50;10;pat;20;20;2;15;5;2;9;0.76;0.85;0.99;5;[]
50;10;pat;20;20;2;15;5;3;9;0.76;0.85;0.99;5;[]
50;10;pat;20;20;3;15;5;-1;9;0.76;0.85;0.99;5;[]
50;10;pat;20;20;3;15;5;0;9;0.76;0.84;0.99;5;[]
50;10;pat;20;20;3;15;5;1;9;0.76;0.85;0.99;5;[]
