Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
70;10;pat;200;200;8;8;;-1;9;;;;;
70;10;pat;200;200;8;8;;0;9;;;;;
70;10;pat;200;200;8;8;;1;9;;;;;
70;10;pat;200;200;8;8;;2;9;;;;;
70;10;pat;200;200;8;8;;3;9;;;;;
70;30;pat;200;200;8;8;;-1;9;;;;;
70;30;pat;200;200;8;8;;0;9;0.79;0.86;0.98;8;[]
70;30;pat;200;200;8;8;5;0;9;0.83;0.86;0.97;8;[]
70;30;pat;200;200;8;8;;1;9;;;;;
70;30;pat;200;200;8;8;;2;9;;;;;
70;30;pat;200;200;8;8;;3;9;;;;;
70;50;pat;200;200;8;8;;-1;9;0.79;0.89;0.96;8;[]
70;50;pat;200;200;8;8;5;-1;9;0.81;0.89;0.95;8;[]
70;50;pat;200;200;8;8;;0;9;0.79;0.89;0.96;8;[]
70;50;pat;200;200;8;8;5;0;9;0.8;0.89;0.96;8;[]
70;50;pat;200;200;8;8;;1;9;;;;;
70;50;pat;200;200;8;8;;2;9;;;;;
70;50;pat;200;200;8;8;;3;9;;;;;
70;10;tag;200;200;8;8;;-1;9;;;;;
70;10;tag;200;200;8;8;;0;9;;;;;
70;10;tag;200;200;8;8;;1;9;;;;;
70;10;tag;200;200;8;8;;2;9;;;;;
70;10;tag;200;200;8;8;;3;9;;;;;
70;30;tag;200;200;8;8;;-1;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;5;-1;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;;0;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;5;0;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;;1;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;5;1;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;;2;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;5;2;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;;3;9;0.85;0.85;0.98;8;[]
70;30;tag;200;200;8;8;5;3;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;;-1;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;5;-1;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;;0;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;5;0;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;;1;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;5;1;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;;2;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;5;2;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;;3;9;0.85;0.85;0.98;8;[]
70;50;tag;200;200;8;8;5;3;9;0.85;0.85;0.98;8;[]
