Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;200;200;8;8;5;-1;9;0.4;0.7;0.99;8;[]
30;10;tag;200;200;8;8;5;-1;9;;;;;
50;10;pat;200;200;8;8;5;-1;9;0.58;0.69;0.99;8;[]
50;30;pat;200;200;8;8;5;-1;9;0.56;0.7;0.99;8;[]
50;10;tag;200;200;8;8;5;-1;9;;;;;
50;30;tag;200;200;8;8;5;-1;9;0.85;0.86;0.98;8;[]
70;10;pat;200;200;8;8;5;-1;9;0.75;0.8;0.99;8;[]
70;30;pat;200;200;8;8;5;-1;9;0.75;0.81;0.99;8;[]
70;50;pat;200;200;8;8;5;-1;9;0.74;0.81;0.94;8;[]
70;10;tag;200;200;8;8;5;-1;9;;;;;
70;30;tag;200;200;8;8;5;-1;9;0.86;0.87;0.98;8;[]
70;50;tag;200;200;8;8;5;-1;9;0.88;0.88;0.98;8;[]
