Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;200;200;2;15;5;-1;9;0.32;0.86;0.96;2;[]
30;10;pat;200;200;2;15;5;0;9;0.32;0.86;0.96;2;[]
30;10;pat;200;200;2;15;5;1;9;0.32;0.86;0.96;2;[]
30;10;pat;200;200;2;15;5;2;9;0.32;0.86;0.96;2;[]
30;10;pat;200;200;2;15;5;3;9;0.32;0.86;0.96;2;[]
30;10;pat;200;200;3;15;5;-1;9;0.42;0.73;0.99;8;[]
30;10;pat;200;200;3;15;5;0;9;0.4;0.71;0.99;8;[]
30;10;pat;200;200;3;15;5;1;9;0.42;0.74;0.99;8;[]
30;10;pat;200;200;3;15;5;2;9;0.4;0.71;0.99;8;[]
30;10;pat;200;200;3;15;5;3;9;0.4;0.71;0.99;8;[]
30;10;tag;200;200;2;15;5;-1;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;2;15;5;0;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;2;15;5;1;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;2;15;5;2;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;2;15;5;3;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;3;15;5;-1;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;3;15;5;0;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;3;15;5;1;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;3;15;5;2;9;0.65;0.93;0.99;5;[]
30;10;tag;200;200;3;15;5;3;9;0.65;0.93;0.99;5;[]
50;10;pat;200;200;2;15;5;-1;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;2;15;5;0;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;2;15;5;1;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;2;15;5;2;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;2;15;5;3;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;3;15;5;-1;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;3;15;5;0;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;3;15;5;1;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;3;15;5;2;9;0.54;0.7;0.99;5;[]
50;10;pat;200;200;3;15;5;3;9;0.54;0.7;0.99;5;[]
50;30;pat;200;200;2;15;5;-1;9;0.55;0.7;0.78;2;[]
50;30;pat;200;200;2;15;5;0;9;0.55;0.7;0.78;2;[]
50;30;pat;200;200;2;15;5;1;9;0.55;0.7;0.78;2;[]
50;30;pat;200;200;2;15;5;2;9;0.55;0.7;0.78;2;[]
50;30;pat;200;200;2;15;5;3;9;0.55;0.7;0.78;2;[]
50;30;pat;200;200;3;15;5;-1;9;0.57;0.71;0.98;10;[]
50;30;pat;200;200;3;15;5;0;9;0.57;0.71;0.98;10;[]
50;30;pat;200;200;3;15;5;1;9;0.57;0.71;0.98;10;[]
50;30;pat;200;200;3;15;5;2;9;0.57;0.71;0.98;10;[]
50;30;pat;200;200;3;15;5;3;9;0.57;0.71;0.98;10;[]
50;10;tag;200;200;2;15;5;-1;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;2;15;5;0;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;2;15;5;1;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;2;15;5;2;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;2;15;5;3;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;3;15;5;-1;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;3;15;5;0;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;3;15;5;1;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;3;15;5;2;9;0.72;0.72;0.99;6;[]
50;10;tag;200;200;3;15;5;3;9;0.72;0.72;0.99;6;[]
50;30;tag;200;200;2;15;5;-1;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;2;15;5;0;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;2;15;5;1;9;0.83;0.85;0.97;8;[]
50;30;tag;200;200;2;15;5;2;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;2;15;5;3;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;3;15;5;-1;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;3;15;5;0;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;3;15;5;1;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;3;15;5;2;9;0.84;0.85;0.97;8;[]
50;30;tag;200;200;3;15;5;3;9;0.84;0.85;0.97;8;[]
70;10;pat;200;200;2;15;5;-1;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;2;15;5;0;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;2;15;5;1;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;2;15;5;2;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;2;15;5;3;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;3;15;5;-1;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;3;15;5;0;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;3;15;5;1;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;3;15;5;2;9;0.77;0.79;0.99;11;[]
70;10;pat;200;200;3;15;5;3;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;2;15;5;-1;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;2;15;5;0;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;2;15;5;1;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;2;15;5;2;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;2;15;5;3;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;3;15;5;-1;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;3;15;5;0;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;3;15;5;1;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;3;15;5;2;9;0.77;0.79;0.99;11;[]
70;30;pat;200;200;3;15;5;3;9;0.77;0.79;0.99;11;[]
70;50;pat;200;200;2;15;5;-1;9;0.76;0.78;0.99;12;[]
70;50;pat;200;200;2;15;5;0;9;0.76;0.79;0.99;12;[]
70;50;pat;200;200;2;15;5;1;9;0.76;0.78;0.99;12;[]
70;50;pat;200;200;2;15;5;2;9;0.76;0.79;0.99;12;[]
70;50;pat;200;200;2;15;5;3;9;0.76;0.79;0.99;12;[]
70;50;pat;200;200;3;15;5;-1;9;0.76;0.78;0.99;12;[]
