Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
70;10;pat;100;100;3;8;5;-1;9;;;;;
70;10;pat;100;100;3;8;5;0;9;;;;;
70;10;pat;100;100;3;8;5;1;9;;;;;
70;10;pat;100;100;3;8;5;2;9;;;;;
70;10;pat;100;100;3;8;5;3;9;;;;;
70;30;pat;100;100;3;8;5;-1;9;;;;;
70;30;pat;100;100;3;8;5;0;9;;;;;
70;30;pat;100;100;3;8;5;1;9;;;;;
70;30;pat;100;100;3;8;5;2;9;;;;;
70;30;pat;100;100;3;8;5;3;9;;;;;
70;40;pat;100;100;3;8;5;-1;9;;;;;
70;40;pat;100;100;3;8;5;0;9;;;;;
70;40;pat;100;100;3;8;5;1;9;;;;;
70;40;pat;100;100;3;8;5;2;9;;;;;
70;40;pat;100;100;3;8;5;3;9;;;;;
70;50;pat;100;100;3;8;5;-1;9;;;;;
70;50;pat;100;100;3;8;5;0;9;;;;;
70;50;pat;100;100;3;8;5;1;9;;;;;
70;50;pat;100;100;3;8;5;2;9;;;;;
70;50;pat;100;100;3;8;5;3;9;;;;;
