Coverage;Discr.;patType;ov;un;finKmin;finKmax;maxNbPat;patPreference;obj;PCR;DC;IPC;Size;Other
30;10;pat;0;0;3;3;5;0;9;0.54;0.77;0.95;3;[(1.0, 1.0, 0)]
30;10;pat;0;30;3;3;5;0;9;0.53;0.77;0.95;3;[(1.0, 1.0, 0)]
30;10;pat;0;50;3;3;5;0;9;0.53;0.77;0.95;3;[(1.0, 1.0, 0)]
30;10;tag;0;0;3;3;5;0;9;;;;;
30;10;tag;0;30;3;3;5;0;9;;;;;
30;10;tag;0;50;3;3;5;0;9;;;;;
50;10;pat;0;0;3;3;5;0;9;;;;;
50;10;pat;0;30;3;3;5;0;9;;;;;
50;10;pat;0;50;3;3;5;0;9;;;;;
50;30;pat;0;0;3;3;5;0;9;0.68;0.75;0.84;3;[(1.0, 1.0, 0)]
50;30;pat;0;30;3;3;5;0;9;0.68;0.75;0.84;3;[(1.0, 1.0, 0)]
50;30;pat;0;50;3;3;5;0;9;0.68;0.75;0.84;3;[(1.0, 1.0, 0)]
50;10;tag;0;0;3;3;5;0;9;;;;;
50;10;tag;0;30;3;3;5;0;9;;;;;
50;10;tag;0;50;3;3;5;0;9;;;;;
50;30;tag;0;0;3;3;5;0;9;0.72;0.87;0.85;3;[(1.0, 1.0, 0)]
50;30;tag;0;30;3;3;5;0;9;0.72;0.87;0.85;3;[(1.0, 1.0, 0)]
50;30;tag;0;50;3;3;5;0;9;0.72;0.87;0.85;3;[(1.0, 1.0, 0)]
60;10;pat;0;0;3;3;5;0;9;;;;;
60;10;pat;0;30;3;3;5;0;9;;;;;
60;10;pat;0;50;3;3;5;0;9;;;;;
60;30;pat;0;0;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;30;pat;0;30;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;30;pat;0;50;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;50;pat;0;0;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;50;pat;0;30;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;50;pat;0;50;3;3;5;0;9;0.73;0.8;0.85;3;[(1.0, 1.0, 0)]
60;10;tag;0;0;3;3;5;0;9;;;;;
60;10;tag;0;30;3;3;5;0;9;;;;;
60;10;tag;0;50;3;3;5;0;9;;;;;
60;30;tag;0;0;3;3;5;0;9;0.73;0.81;0.87;3;[(1.0, 1.0, 0)]
60;30;tag;0;30;3;3;5;0;9;0.73;0.81;0.87;3;[(1.0, 1.0, 0)]
60;30;tag;0;50;3;3;5;0;9;0.73;0.81;0.87;3;[(1.0, 1.0, 0)]
60;50;tag;0;0;3;3;5;0;9;0.74;0.89;0.84;3;[(1.0, 1.0, 0)]
60;50;tag;0;30;3;3;5;0;9;0.74;0.89;0.84;3;[(1.0, 1.0, 0)]
60;50;tag;0;50;3;3;5;0;9;0.74;0.89;0.84;3;[(1.0, 1.0, 0)]
70;10;pat;0;0;3;3;5;0;9;;;;;
70;10;pat;0;30;3;3;5;0;9;;;;;
70;10;pat;0;50;3;3;5;0;9;;;;;
70;30;pat;0;0;3;3;5;0;9;;;;;
70;30;pat;0;30;3;3;5;0;9;;;;;
70;30;pat;0;50;3;3;5;0;9;0.75;0.75;0.87;3;[(1.0, 1.0, 0)]
70;50;pat;0;0;3;3;5;0;9;0.75;0.75;0.87;3;[(1.0, 1.0, 0)]
70;50;pat;0;30;3;3;5;0;9;0.75;0.75;0.87;3;[(1.0, 1.0, 0)]
70;50;pat;0;50;3;3;5;0;9;0.75;0.75;0.87;3;[(1.0, 1.0, 0)]
70;10;tag;0;0;3;3;5;0;9;;;;;
70;10;tag;0;30;3;3;5;0;9;;;;;
70;10;tag;0;50;3;3;5;0;9;;;;;
70;30;tag;0;0;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
70;30;tag;0;30;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
70;30;tag;0;50;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
70;50;tag;0;0;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
70;50;tag;0;30;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
70;50;tag;0;50;3;3;5;0;9;0.8;0.8;0.9;3;[(1.0, 1.0, 0)]
